order_id,customer_id,customer_name,age,gender,email,phone,city,state,country,pincode,product_name,category,quantity,unit_price_inr,discount_percent,total_price_inr,order_date,delivery_date,payment_method,order_status,seller,rating,review_text,return_requested,loyalty_points
ORD004956,CUST07456,John Williams,31,Male,john.williams382@hotmail.com,794-434-1290,Sydney,Florida,Canada,728897,Sunscreen,Grocery,10,40434.17,5,,10/10/2023,10/23/2023,UPI,Shipped,techmart,5,Average quality,NO,234
ORD002286,CUST03375,Pooja Kumar,71,f,pooja.kumar622@hotmail.com,,Kolkata,West Bengal,India,146860,Lamp,Jewelry,4,2441.66,50,4883.32,12/25/2020,1/21/2021,EMI,processing ,BookWorld,1,Great product!,,405
ORD009635,CUST00109,Li Martinez,24,Female,,899-283-8216,LONDON,California,USA,565741,Kurta,Clothing,3,20521.03,50,30781.54,9/9/2021,9/19/2021,Wallet,SHIPPED,TechMart,4,Will buy again,yes,3592
ORD006133,CUST06882,James Sharma,29,Male,james.sharma742@gmail.com,618-617-9604,Hyderabad,Telangana,U.S.A,133523,EARRINGS,Jewelry,2,4885.58,10,8794.04,7/29/2023,7/31/2023,Net Banking,Cancelled,FASHION HUB,,,NO,4320
ORD002681,CUST02264,Emily Shah,60,N/A,emily.shah229@outlook.com,714-728-3147,Lucknow,Punjab,Australia,329707,Self Help,Furniture,8,9999999,0,79999992,12/9/2023,12/24/2023,Cash on Delivery,SHIPPED,FashionHub,,na,,2205
ORD007336,CUST07877,Kavya Lopez,55,Female,kavya.lopez470@yahoo.com,6068861712,Chennai,Tamil Nadu,India,0,Silver Necklace,books ,5,903.77,,4518.85,10/9/2020,10/24/2020,EMI,Delivered,AutoDeals,4,,NO,1904
ORD010764,CUST03314,David Reddy,62,M,david.reddy570@outlook.com,621-535-7742,Tokyo,Victoria,USA,,Smartphone,Electronics,2,6272.4,50,6272.4,7/25/2021,8/18/2021,Cash on Delivery,Pending,GrocerBay,,,Yes,1659
ORD010154,CUST06302,Anjali Johnson,71,Other,anjali.johnson760@gmail.com,931-903-6100,Ahmedabad,Rajasthan,India,717984,Bed Frame,CLOTHING,9,27636.26,50,,11/15/2024,11/16/2024,Credit Card,RETURNED,FashionHub,3,N/A,No,2334
ORD007558,CUST02010,Emily Lopez,45,Other,emily.lopez85@yahoo.com,9187237664,Mumbai,Maharashtra,India,855117,Saree,Sports ,2,16095.45,5,30581.35,7/16/2022,7/27/2022,N/A,delivered,TechMart,1,,Yes,950
ORD003412,CUST01989,Li Johnson,41,Male,li.johnson157@yahoo.com,,KOLKATA,West Bengal,India,622349,Football,Furniture,10,35003.89,,586001.18,12/17/2020,1/4/2021,,delivered,Book World ,,Will buy again,N/A,4610
,CUST06128,Olivia Martinez,74,Unknown,olivia.martinez164@yahoo.com,808-553-4116,Lagos,Lagos State,Singapore,684742,Shoes,CLOTHING,,9534.62,5,9057.89,11/30/2021,12/25/2021,,delivered,SportZone,3,Loved it!,,758
ORD000993,CUST07466,Olivia Johnson,999,Other,olivia.johnson120@hotmail.com,832-917-8110,Berlin,Tokyo,Singapore,490760,Perfume,,10,36856.25,50,184281.25,4/12/2021,4/28/2021,Cash on Delivery,RETURNED,techmart,1,Poor packaging,N/A,894
ORD002561,CUST03492,Emily Wang,58,Male,emily.wang115@gmail.com,685-310-9794,London,California,USA,346876,Earrings,Clothing,10,17329.53,20,138636.24,3/31/2022,4/10/2022,Credit Card,canceled,GrocerBay,3,Fast delivery,NO,932
ORD007611,CUST02808,Omar Reddy,43,Other,omar.reddy49@hotmail.com,740-489-9253,Singapore,NSW,Singapore,851789,Turmeric Powder,Clothing,3,2880.32,10,7776.86,6/28/2020,,Cash on Delivery,Returned,JewelBox,1,Very satisfied,NO,2129
ORD000133,CUST00466,Sarah Kim,63,Male,sarah.kim134@outlook.com,931-679-4027,Pune,Gujarat,India,769809,Board Game,Furniture,2,3166.25,0,6332.5,12/30/2020,1/14/2021,Net Banking,SHIPPED,,1,N/A,No,870
ORD004430,CUST06431, Mei Smith,44,Other,mei.smith763@outlook.com,798-491-1580,New York,New York,France,216979,Earrings,,3,46778.6,10,126302.22,6/12/2022,6/29/2022,Cash on Delivery,Cancelled,BookWorld,2,.,No,510
ORD011850,CUST00864,Chris_Chen,69,Male,chris.chen34@yahoo.com,,Lucknow,Punjab,France,967375,Fiction Novel,Grocery,6,,0,5472.3,1/7/2023,1/12/2023,UPI,Cancelled,techmart,,Fast delivery,NO,
ORD000347,CUST07843,Jessica_Brown,74,Other,jessica.brown193@outlook.com,630-540-4457,Toronto,Texas,Singapore,719467,Running Shoes,Automotive,2,,0,25574.42,1/26/2021,2/19/2021,Wallet,RETURNED,HomeEssentials,2,Great product!,No,381
ORD009298,CUST05722,Olivia Nair,48,Female,olivia.nair331@outlook.com,840-449-6582,Sydney,Florida,Japan,,Mug,Beauty,2,2364.23,,4019.19,7/16/2020,8/3/2020,UPI,Returned,Book World ,1,.,N/A,4512
ORD005552,CUST00741,Fatima Martinez,62,m,fatima.martinez652@outlook.com,999-928-6813,Lagos,Lagos State,UK,543923,Almonds,,7,39342,25,206545.5,1/25/2023,,Cash on Delivery,SHIPPED,BookWorld,2,,,2949
ORD002327,CUST02985,KAVYA JONES,51,Female,kavya.jones878@yahoo.com,603-798-8924,Chennai,Tamil Nadu,India,619697,Laptop,Sports,7,,,110657.54,1/4/2021,1/11/2021,Credit Card,canceled,JewelBox,,Not worth it,,332
ORD003721,CUST05292,Chris Kim,,Other,chris.kim883@hotmail.com,784-988-8794,Paris,Ile-de-France,Singapore,105810,Study Table,Automotive ,2,21331.71,20,34130.74,2/19/2022,3/3/2022,Wallet,Pending,HomeEssentials,1,Very satisfied,No,1036
ORD004717,CUST05147,Olivia Kim,43,Other,olivia.kim698@gmail.com,81792,Kolkata,West Bengal,India,0,Textbook,Books,6,31204.34,0,187226.04,12/20/2020,1/14/2021,Net Banking,delivered,JewelBox,4,Loved it!,,761
ORD010087,CUST04344,Mei Martinez,57,Female,mei.martinez631@hotmail.com,749-950-1736,London,California,Singapore,462414,Chair,books ,9,,30,,8/20/2023,9/18/2023,Cash on Delivery,canceled,FASHION HUB,,Not worth it,Yes,3196
ORD008327,CUST00451,James Brown,30,Other,james.brown603@outlook.com,784-205-,Dubai,,UK,N/A,Car Cover,books ,6,,15,156134.26,3/29/2021,,Credit Card,pending,BookWorld,4,Poor packaging,NO,4719
ORD008300,CUST06596,Pooja Patel,,Female,pooja.patel390@hotmail.com,701-784-9099,Lagos,,UK,211087,Bracelet,beauty,7,24243.28,30,118792.07,4/9/2022,28-Apr-22,EMI,SHIPPED,BookWorld,,Will buy again,NO,4709
ORD011345,CUST05457,Kavya Garcia,47,Female,kavya.garcia131@yahoo.com,990-982-7722,Toronto,Texas,UAE,794562,Multivitamin,Health,5,,0,127213.2,2/21/2024,3/3/2024,Net Banking,Cancelled,SportZone,0,na,NO,4364
ORD008880,CUST06189,Chris Jones,60,Male,,88658,Hyderabad,Telangana,India,187742,Headphones,electronics,10,22343.44,15,189919.24,5/8/2020,5/19/2020,Cash on Delivery,RETURNED,SportZone,4,Average quality,N/A,123
ORD000337,CUST02038,Li Kumar,62,Female,li.kumar410@outlook.com,753-183-4973,Singapore,NSW,Singapore,159667,Textbook,CLOTHING,6,5955.41,50,17866.23,3/14/2021,3/27/2021,,Processing,FASHION HUB,5,Poor packaging,Yes,824
ORD000069,CUST06718,Maria Singh,21,Male,maria.singh268@hotmail.com,801-817-6345,Jaipur,Uttar Pradesh,India,907557,Textbook,books ,2,48233.5,20,77173.6,7/4/2020,7/10/2020,upi,Processing,ToyLand,1,Fast delivery,NO,401
ORD000425,CUST01164,Pooja Singh,53,,pooja.singh161@yahoo.com,936-386-3887,Tokyo,Victoria,United States,303419,Bed Frame,Electronics,6,41026.77,50,123080.31,5/30/2022,6/12/2022,Credit Card,Delivered,techmart,,.,,2925
ORD001674,CUST02526,Sarah Singh,58,male,sarah.singh883@hotmail.com ,000-000-0000,Bangalore,,India,,BOARD GAME,Automotive,2,1869.36,,3364.85,1/18/2021,2/2/2021,Debit Card,delivered,GrocerBay,4,Not worth it,NO,3400
ORD002400,CUST04157,Kavya Patel,36,Male,kavya.patel559@gmail.com ,817-652-5134,New York,New York,Australia,N/A,Hair Oil,electronics,3,15515.47,25,34909.81,10/15/2024,10/24/2024,Debit Card,Returned,BookWorld,3,Not worth it,yes,1159
ORD004445,CUST03442,John Singh,70,Female,john.singh862@outlook.com,645-969-3340,Lagos,Lagos State,France,310291,Pressure Cooker,Jewelry,8,20141.39,50,80565.56,8/30/2022,9/20/2022,Net Banking,canceled,FashionHub,5,Excellent value,NO,4545
ORD010889,CUST06704,Olivia Lee,24,Other,olivia.lee806@hotmail.com,666-414-5049,Lagos,,UK,218999,TV,Furniture,6,36039.05,10,194610.87,10/20/2020,11/1/2020,Cash on Delivery,canceled,BookWorld,4,Excellent value,,227
